Umid,TempDHT,Press,Tempbmp,Altitud,TempMedia,Dt,Tempo
50,22,990.40,23.25,-169.38,22.63,151,21460
50,22,990.40,23.25,-169.39,22.63,152,22857
50,22,990.40,23.25,-169.39,22.63,154,23984
50,22,990.40,23.25,-169.34,22.63,155,25380
50,22,990.40,23.25,-169.34,22.63,156,26506
50,22,990.40,23.25,-169.38,22.63,158,27904
50,22,990.40,23.25,-169.38,22.63,159,29029
50,22,990.40,23.25,-169.36,22.63,160,30426
50,22,990.39,23.25,-169.33,22.63,161,31552
50,22,990.39,23.25,-169.33,22.63,163,-32586
50,22,990.39,23.25,-169.33,22.63,164,-31460
50,22,990.39,23.25,-169.33,22.63,165,-30062
50,22,990.40,23.25,-169.34,22.63,166,-28935
50,22,990.40,23.26,-169.39,22.63,168,-27537
50,22,990.40,23.26,-169.39,22.63,169,-26409
50,22,990.40,23.26,-169.38,22.63,170,-25011
50,22,990.40,23.26,-169.38,22.63,171,-23884
50,22,990.40,23.25,-169.39,22.63,173,-22487
50,22,990.39,23.25,-169.33,22.63,174,-21359
50,22,990.40,23.26,-169.38,22.63,175,-19961
50,22,990.40,23.26,-169.39,22.63,176,-18834
50,22,990.40,23.26,-169.38,22.63,178,-17435
50,22,990.40,23.26,-169.34,22.63,179,-16309
50,22,990.39,23.26,-169.33,22.63,180,-14911
50,22,990.40,23.26,-169.34,22.63,181,-13784
50,22,990.40,23.26,-169.36,22.63,183,-12386
50,22,990.40,23.25,-169.34,22.63,184,-11259
50,22,990.40,23.25,-169.36,22.63,185,-9861
50,22,990.40,23.25,-169.39,22.63,186,-8735
50,22,990.40,23.25,-169.36,22.63,188,-7338
50,22,990.40,23.25,-169.39,22.63,189,-6212
50,22,990.40,23.25,-169.37,22.63,190,-4814
50,22,990.40,23.25,-169.36,22.63,191,-3689
50,22,990.40,23.25,-169.39,22.63,193,-2292
50,22,990.40,23.25,-169.37,22.63,194,-1166
50,22,990.40,23.25,-169.36,22.63,195,231
50,22,990.40,23.25,-169.38,22.63,197,1355
50,22,990.40,23.25,-169.39,22.63,198,2751
50,22,990.40,23.25,-169.39,22.63,199,3875
50,22,990.40,23.25,-169.41,22.63,200,5271
50,22,990.40,23.25,-169.41,22.63,202,6396
50,22,990.40,23.25,-169.42,22.63,203,7793
50,22,990.41,23.25,-169.43,22.63,204,8918
50,22,990.40,23.25,-169.42,22.63,205,10313
50,22,990.40,23.25,-169.39,22.63,207,11440
50,22,990.40,23.25,-169.39,22.63,208,12836
50,22,990.40,23.25,-169.40,22.63,209,13963
50,22,990.40,23.25,-169.40,22.63,211,15360
50,22,990.40,23.25,-169.40,22.63,212,16485
50,22,990.40,23.25,-169.40,22.63,213,17882
50,22,990.40,23.25,-169.40,22.63,214,19008
50,22,990.40,23.25,-169.40,22.63,216,20406
50,22,990.40,23.25,-169.39,22.63,217,21531
50,22,990.40,23.25,-169.39,22.63,218,22928
50,22,990.40,23.25,-169.39,22.63,219,24054
50,22,990.40,23.25,-169.39,22.63,221,25451
50,22,990.40,23.25,-169.36,22.63,222,26577
50,22,990.40,23.25,-169.37,22.63,223,27975
50,22,990.40,23.25,-169.38,22.63,224,29101
50,22,990.40,23.25,-169.38,22.63,226,30497
50,22,990.40,23.25,-169.39,22.63,227,31642
50,22,990.40,23.25,-169.39,22.63,228,-32497
50,22,990.40,23.25,-169.38,22.63,229,-31370
50,22,990.40,23.26,-169.41,22.63,231,-29971
50,22,990.40,23.26,-169.42,22.63,232,-28845
50,22,990.40,23.26,-169.42,22.63,233,-27447
50,22,990.40,23.26,-169.42,22.63,234,-26319
50,22,990.40,23.26,-169.42,22.63,236,-24922
50,22,990.40,23.26,-169.41,22.63,237,-23794
50,22,990.41,23.26,-169.42,22.63,238,-22395
50,22,990.40,23.26,-169.42,22.63,239,-21269
50,22,990.40,23.26,-169.39,22.63,241,-19871
50,22,990.40,23.26,-169.39,22.63,242,-18744
50,22,990.40,23.26,-169.39,22.63,243,-17346
50,22,990.40,23.25,-169.34,22.63,244,-16219
50,22,990.40,23.26,-169.38,22.63,246,-14821
50,22,990.40,23.26,-169.38,22.63,247,-13694
50,22,990.40,23.25,-169.34,22.63,248,-12297
50,22,990.40,23.25,-169.36,22.63,250,-11169
50,22,990.40,23.25,-169.34,22.63,251,-9772
50,22,990.39,23.25,-169.33,22.63,252,-8646
50,22,990.39,23.25,-169.33,22.63,253,-7248
50,22,990.40,23.25,-169.36,22.63,255,-6123
50,22,990.40,23.25,-169.36,22.63,256,-4726
50,22,990.40,23.25,-169.36,22.63,257,-3600
50,22,990.40,23.25,-169.38,22.63,258,-2202
50,22,990.39,23.25,-169.33,22.63,260,-1077
50,22,990.40,23.25,-169.36,22.63,261,320
50,22,990.40,23.25,-169.37,22.63,262,1444
50,22,990.40,23.25,-169.42,22.63,264,2840
50,22,990.40,23.25,-169.42,22.63,265,3964
50,22,990.40,23.25,-169.39,22.63,266,5360
50,22,990.40,23.25,-169.39,22.63,267,6486
50,22,990.40,23.25,-169.36,22.63,269,7881
50,22,990.40,23.25,-169.36,22.63,270,9007
50,22,990.40,23.25,-169.36,22.63,271,10403
50,22,990.40,23.25,-169.36,22.63,272,11529
50,22,990.40,23.25,-169.36,22.63,274,12925
50,22,990.40,23.25,-169.36,22.63,275,14052
50,22,990.40,23.25,-169.34,22.63,276,15450
50,22,990.40,23.25,-169.37,22.63,277,16575
50,22,990.40,23.25,-169.36,22.63,279,17972
50,22,990.40,23.25,-169.37,22.63,280,19098
50,22,990.40,23.25,-169.37,22.63,281,20495
50,22,990.40,23.25,-169.34,22.63,282,21621
50,22,990.40,23.25,-169.34,22.63,284,23019
50,22,990.40,23.25,-169.36,22.63,285,24144
50,22,990.40,23.25,-169.36,22.63,286,25541
50,22,990.39,23.25,-169.33,22.63,287,26668
50,22,990.39,23.25,-169.33,22.63,289,28065
50,22,990.40,23.25,-169.36,22.63,290,29191
50,22,990.40,23.25,-169.37,22.63,291,30588
50,22,990.40,23.25,-169.36,22.63,292,31714
50,22,990.40,23.25,-169.36,22.63,294,-32425
50,22,990.40,23.25,-169.37,22.63,295,-31298
50,22,990.40,23.25,-169.39,22.63,296,-29899
50,22,990.40,23.25,-169.40,22.63,297,-28773
50,22,990.40,23.25,-169.42,22.63,299,-27375
50,22,990.40,23.25,-169.42,22.63,300,-26248
50,22,990.41,23.25,-169.43,22.63,301,-24850
50,22,990.41,23.25,-169.45,22.63,302,-23722
50,22,990.41,23.25,-169.46,22.63,304,-22324
50,22,990.41,23.25,-169.46,22.63,305,-21197
50,22,990.41,23.25,-169.46,22.63,306,-19800
50,22,990.41,23.25,-169.46,22.63,308,-18672
50,22,990.41,23.25,-169.49,22.63,309,-17274
50,22,990.41,23.25,-169.46,22.63,310,-16147
50,22,990.41,23.25,-169.48,22.63,311,-14748
50,22,990.41,23.25,-169.48,22.63,313,-13622
50,22,990.41,23.25,-169.46,22.63,314,-12224
50,22,990.41,23.25,-169.48,22.63,315,-11097
50,22,990.41,23.25,-169.48,22.63,317,-9699
50,22,990.41,23.25,-169.49,22.63,318,-8573
50,22,990.41,23.25,-169.51,22.63,319,-7176
50,22,990.41,23.25,-169.48,22.63,320,-6050
50,22,990.41,23.25,-169.46,22.63,322,-4654
50,22,990.41,23.25,-169.48,22.63,323,-3527
50,22,990.41,23.25,-169.51,22.63,324,-2129
50,22,990.41,23.25,-169.51,22.63,325,-1004
50,22,990.41,23.25,-169.49,22.63,327,393
50,22,990.41,23.25,-169.49,22.63,328,1517
50,22,990.41,23.25,-169.46,22.63,329,2913
50,22,990.41,23.25,-169.48,22.63,330,4037
50,22,990.41,23.26,-169.48,22.63,332,5434
50,22,990.41,23.26,-169.48,22.63,333,6558
50,22,990.41,23.26,-169.48,22.63,334,7954
50,22,990.41,23.26,-169.51,22.63,335,9079
50,22,990.42,23.26,-169.54,22.63,337,10476
50,22,990.42,23.26,-169.52,22.63,338,11601
51,22,990.42,23.26,-169.54,22.63,339,12998
51,22,990.42,23.26,-169.55,22.63,340,14125
51,22,990.42,23.26,-169.55,22.63,342,15521
51,22,990.42,23.26,-169.54,22.63,343,16648
51,22,990.42,23.26,-169.55,22.63,344,18045
51,22,990.42,23.26,-169.55,22.63,345,19171
51,22,990.42,23.26,-169.53,22.63,347,20569
51,22,990.41,23.26,-169.50,22.63,348,21694
51,22,990.41,23.26,-169.48,22.63,349,23091
51,22,990.41,23.27,-169.49,22.64,350,24217
51,22,990.41,23.27,-169.45,22.64,352,25614
51,22,990.41,23.27,-169.44,22.64,353,26739
51,22,990.41,23.27,-169.43,22.64,354,28137
51,22,990.40,23.27,-169.41,22.64,355,29262
